company	ERROR	crunchbaseURL	founders__name	founders__links__Custom	founders__links__Facebook	founders__links__LinkedIn	founders__links__Twitter
			Jacob Rockland	http://jakerockland.com/			
					https://www.facebook.com/jakeinthesun		
						https://www.linkedin.com/in/jakerockland	
							https://twitter.com/jakerockland
			Shantanu Bala	http://sbala.org/			
					https://www.facebook.com/shantanu.bala		
						https://www.linkedin.com/in/shantanu-bala-13541970	
							https://twitter.com/shantanubala
NexusEdge		https://www.crunchbase.com/organization/nexusedge-inc	Edward Lin			https://www.linkedin.com/in/eddie-lin-3b20714/	
			Shanti Akkineni			https://www.linkedin.com/in/shanti-akkineni-1a191b3/	
Additive Rocket Corporation		https://www.crunchbase.com/organization/additive-rocket-corporation	Andy Kieatiwong			https://www.linkedin.com/in/akieatiwong/	
							https://twitter.com/AndyKieatiwong
			Kyle Adriany			https://www.linkedin.com/in/kadriany/	
Zego		https://www.crunchbase.com/organization/casaiq	Adam Blake	https://www.crunchbase.com/search/organizations/field/people/num_exits/adam-blake			
Planetarians		https://www.crunchbase.com/organization/planetarians	Aleh Manchuliantsau			https://www.linkedin.com/in/manchuliantsau/	
							https://twitter.com/Manchuliantsev
			Anastasia Tkacheva			https://www.linkedin.com/in/tkachevaanastasia/	
Stylindex		https://www.crunchbase.com/organization/stylindex	Holly Dunlap	http://www.stylindex.com/			
						https://www.linkedin.com/in/holly-dunlap-aa3239116/	
Stackin'		https://www.crunchbase.com/organization/stackin	Kyle Arbaugh			https://www.linkedin.com/in/kylearbaugh/	
			Scott Grimes			https://www.linkedin.com/in/scott-grimes-56254b4	
Ampogee		https://www.crunchbase.com/organization/ampogee	Brian Lopatka			https://www.linkedin.com/in/brian-lopatka/	
			Jonathan Woahn		https://www.facebook.com/jonathan.woahn		
						https://www.linkedin.com/in/jonathanwoahn	
Vector Legal Method		https://www.crunchbase.com/organization/vector-legal-method	Seema Tendolkar			https://www.linkedin.com/in/seema-tendolkar-a6b75613a/	
			Thadd Hale			https://www.linkedin.com/in/thaddhale/	
Upsie		https://www.crunchbase.com/organization/upsie	Clarence Bethea		https://www.facebook.com/clarence.bethea		
						https://www.linkedin.com/in/clarencebethea/	
							https://twitter.com/clarence_bethea
Blue Fever		https://www.crunchbase.com/organization/blue-fever	Greta McAnany		https://www.facebook.com/profile.php?id=3431888		
						https://www.linkedin.com/in/greta-mcanany-bluefever/	
							https://twitter.com/gretamcanany?lang=en
			Lauren Tracy			https://www.linkedin.com/in/laurentracy/	
							https://twitter.com/laurentracyfilm?lang=en
			Rick Tracy			https://www.linkedin.com/in/rick-tracy-4173ab/	
Heartbeat		https://www.crunchbase.com/organization/heartbeat-3	Brian Freeman		https://www.facebook.com/BrianMFreeman		
						https://www.linkedin.com/in/brianmfreeman/	
							https://twitter.com/brianmfreeman
			Kate Edwards		https://www.facebook.com/kateavelineedwards		
						https://www.linkedin.com/in/kateavelineedwards/	
JOANY		https://www.crunchbase.com/organization/impact-health	Christine Carrillo			https://www.linkedin.com/in/christinecarrillo	
							https://twitter.com/christinecarril
			Helen Lee			https://www.linkedin.com/in/helenlee321/	
							https://twitter.com/helenlee321?lang=en
Pulse Labs		https://www.crunchbase.com/organization/pulse-labs-b728	Abhishek Suthan		https://www.facebook.com/asuthan		
						https://www.linkedin.com/in/asuthan/	
			Dylan Zwick		https://www.facebook.com/pzwick1		
						https://www.linkedin.com/in/dylanzwick/	
							https://twitter.com/pulselabs_cpo?lang=en
Playfull		https://www.crunchbase.com/organization/playfull	Alex Hesselgrave			https://www.linkedin.com/in/ahesselgrave/	
			Patrick Lu		https://www.facebook.com/P3tricks		
						https://www.linkedin.com/in/patrickmlu/	
							https://twitter.com/P3tricks
			Zhuping Hu			https://www.linkedin.com/in/zhupinghu	
Novel Effect		https://www.crunchbase.com/organization/novel-effect-inc	Kevin Coulton		https://www.facebook.com/kevincoulton		
						https://www.linkedin.com/in/kevin-coulton-66174031	
			Matthew Hammersley			https://www.linkedin.com/in/matthammersley	
			Melissa Hammersley			https://www.linkedin.com/in/melissa-hammersley-08456784	
			Melody Furze			https://www.linkedin.com/in/melody-furze-30aa31a8	
			Mike Furze				
Vartega Inc.		https://www.crunchbase.com/organization/vartega-carbon-fiber-recycling-llc	Andrew Maxey				
Fathom		https://www.crunchbase.com/organization/fathom-drone	Danny Vessells		https://www.facebook.com/danny.vessells		
						https://www.linkedin.com/in/danny-vessells-43216389/	
							https://twitter.com/danielvessells
			John Boss		https://www.facebook.com/john.boss.5		
						https://www.linkedin.com/in/john-boss-257700ab/	
							https://twitter.com/@johnmboss
			Matt Gira		https://www.facebook.com/matt.gira		
						https://www.linkedin.com/in/matt-gira/	
							https://twitter.com/matthewgira
Wheeli		https://www.crunchbase.com/organization/wheeli	Jean-Pierre Adechi			https://www.linkedin.com/in/jean-pierre-adechi-58069a16/	
Axle		https://www.crunchbase.com/organization/axle	Bharath Krishnamoorthy		https://www.facebook.com/krishnbx		
						https://www.linkedin.com/in/bharath-krishnamoorthy-a51a6033	
			Shawn Vo	http://www.shawnvo.com/			
					https://www.facebook.com/ShawnVo		
						https://www.linkedin.com/in/shawnvo	
							https://twitter.com/shawnvo
SEEVA Technologies		https://www.crunchbase.com/organization/seeva	Diane Lansinger			https://www.linkedin.com/in/dianelansinger/	
			Jere Lansinger			https://www.linkedin.com/in/jerelansinger/	
FreshCar		https://www.crunchbase.com/organization/freshcar					
Gridwise		https://www.crunchbase.com/organization/gridwise	Brian Finamore			https://www.linkedin.com/in/brian-finamore/	
			Ryan Green			https://www.linkedin.com/in/ryanagreen/	
Derq		https://www.crunchbase.com/organization/derq	Amer Abufadel			https://www.linkedin.com/in/abufadel/	
			Georges Aoude			https://www.linkedin.com/in/georgesaoude/	
			Karl Jeanbart			https://www.linkedin.com/in/jeanbartkarl/	
Carma		https://www.crunchbase.com/organization/carma	Azarias Reda	http://azreda.org/			
						http://www.linkedin.com/in/azariasreda	
			Patrick Min			https://www.linkedin.com/in/patrick-min/	
			Pratik Shah			https://www.linkedin.com/in/pratikshahlinkedin/	
Botnik Studios		https://www.crunchbase.com/organization/botnik-studios					
Pulse Labs		https://www.crunchbase.com/organization/pulse-labs	Christopher Tosi			https://www.linkedin.com/in/christophertosi/	
			Peter Koverda			https://www.linkedin.com/in/koverda/	
Air Tailor		https://www.crunchbase.com/organization/air-tailor	Brian Flynn		https://www.facebook.com/bflynny		
						https://www.linkedin.com/in/bflynn1/	
							https://twitter.com/bdflynny
			Joshua Brueckner		https://www.facebook.com/joshua.brueckner		
						https://www.linkedin.com/in/joshuabrueckner/	
							https://twitter.com/jabrueckner
Turing Group		https://www.crunchbase.com/organization/turing-group-702e					
Stream.io Inc		https://www.crunchbase.com/organization/getstream-io	Thierry Schellenbach	http://www.mellowmorning.com/			
					http://www.facebook.com/tschellenbach		
						http://www.linkedin.com/in/thierryschellenbach	
							http://twitter.com/tschellenbach
			Tommaso Barbugli			https://nl.linkedin.com/in/tommasobarbugli	
CareAcademy		https://www.crunchbase.com/organization/care-academy	Helen Adeosun		https://www.facebook.com/helen.adeosun		
						https://www.linkedin.com/in/helenadeosun/	
							https://twitter.com/hadeosun?lang=en
			Madhuri Reddy			https://www.linkedin.com/in/madhuri-reddy-md-msc-40a368b0/	
							https://twitter.com/drmadhurireddy?lang=en
SpotCrowd		https://www.crunchbase.com/organization/spotcrowd	Alexander Siera		https://www.facebook.com/alexander.siera		
						https://www.linkedin.com/in/alexander-siera-97bbbaa9/	
							https://twitter.com/Chateauvalcreus
Aiva Health		https://www.crunchbase.com/organization/aiva-health	Sumeet Bhatia			http://www.linkedin.com/pub/sumeet-bhatia/0/35/856	
Tasso		https://www.crunchbase.com/organization/tasso	Ben Casavant				
			Erwin Berthier				
ChoiceMap Inc.		https://www.crunchbase.com/organization/choicemap	Jonathan Jackson		https://www.facebook.com/jonathanjchjackson		
						https://www.linkedin.com/in/jonathan-jackson-967aaa2b	
							https://twitter.com/jchjackson
GYANT		https://www.crunchbase.com/organization/gyant	Pascal Zuta			https://www.linkedin.com/in/pascalzuta/	
			Stefan Behrens		https://www.facebook.com/stefanbehrens		
						https://www.linkedin.com/in/stefanbehrensx	
Streamroot		https://www.crunchbase.com/organization/streamroot	Axel Delmas			http://fr.linkedin.com/pub/axel-delmas/4a/aa/b43/en	
			Nikolay Rodionov			http://www.linkedin.com/pub/nikolay-rodionov/42/397/854/en	
			Pierre Louis Théron			http://www.linkedin.com/pub/pierre-louis-theron/61/680/2a3	
2ULaundry		https://www.crunchbase.com/organization/2u-laundry	Alex Smereczniak		https://www.facebook.com/smerzz		
						https://www.linkedin.com/in/alex-smereczniak-40310329/	
			Dan D'Aquisto	https://www.2ulaundry.com/			
						https://www.linkedin.com/in/daquisto	
NRJ		https://www.crunchbase.com/organization/nrj					
praktice.ai		https://www.crunchbase.com/organization/praktice-ai	Dr. Akhila Adabala			https://www.linkedin.com/in/akhila-srinath-7aab16112/	
			Srinath Akula				
TerraManta		https://www.crunchbase.com/organization/terramanta	Andrei Klimanov				
			Leon Kotovich				
Seremedi		https://www.crunchbase.com/organization/seremedi	Kim Bond Evan			https://www.linkedin.com/in/kimbevans	
							https://twitter.com/kimbondevans
PainTheory		https://www.crunchbase.com/organization/paintheory					
Gtmhub		https://www.crunchbase.com/organization/gtmhub	Ivan Osmak			https://www.linkedin.com/in/ivan-osmak-619a924/	
			Jordan Angelov				
			Martin Kirov	http://www.gtmhub.com/			
						http://www.linkedin.com/profile/view?id=34034625	
							https://twitter.com/cinciribaika
			Radoslav Georgiev			https://www.linkedin.com/in/radoslav-georgiev-55b88333/	
							https://twitter.com/georgievrado
Wise Athena		https://www.crunchbase.com/organization/wise-athena	Alfonso Vazquez			http://www.linkedin.com/in/alfonsovazquez	
							http://twitter.com/VazquezElvira
			Ricardo Flores			https://www.linkedin.com/in/ricardo-flores-7864b033/	
Aiva Health		https://www.crunchbase.com/organization/aiva-health	Sumeet Bhatia			http://www.linkedin.com/pub/sumeet-bhatia/0/35/856	
Tasso		https://www.crunchbase.com/organization/tasso	Ben Casavant				
			Erwin Berthier				
NarrativeDx		https://www.crunchbase.com/organization/narrativedx	Kyle Robertson		https://www.facebook.com/kyle.r.robertson		
						https://www.linkedin.com/in/kylendx	
							https://twitter.com/KyleNDx
			Senem Guney		https://www.facebook.com/senem.guney.3511		
						https://www.linkedin.com/in/senemndx	
							https://twitter.com/senemndx
YayPay		https://www.crunchbase.com/organization/yaypay-inc	Anthony Venus			https://www.linkedin.com/in/anthony-venus-5b838ab	
							https://twitter.com/Ant_Venus
			Eugene Vyborov			https://www.linkedin.com/in/evyborov	
							https://twitter.com/evyborov
			Saul Frank			https://www.linkedin.com/in/saul-frank-97686b12	
Sway Health		https://www.crunchbase.com/organization/sway-health	Kevin DePopas			https://www.linkedin.com/in/kevin-depopas-76a86b42	
							https://twitter.com/kdepop
"Invio, Inc."		https://www.crunchbase.com/organization/invio-2	Brian Caruso			https://www.linkedin.com/in/carusobp/	
			Cassie Wallender		https://www.facebook.com/firewallender		
						https://www.linkedin.com/in/cassie	
							https://twitter.com/cassie
StoryXpress		https://www.crunchbase.com/organization/storyxpress	Ankit Mishra		https://www.facebook.com/3ankitmishra		
						https://www.linkedin.com/in/3ankitmishra	
							https://twitter.com/ankitweeting
			Chinmay Jindal		https://www.facebook.com/chinmay.jindal.9		
						https://www.linkedin.com/in/chinmay-jindal-0b344771	
							https://twitter.com/ChinmayJindal
Cogni		https://www.crunchbase.com/organization/cogni	Archie Ravishankar			https://www.linkedin.com/in/archieravishankar/	
Magic AI		https://www.crunchbase.com/organization/magic-ai-corp	Alexa Anthony		https://www.facebook.com/alexa.anthony.75		
						https://www.linkedin.com/in/alexahanthony/	
			Jacob Sullivan			https://www.linkedin.com/in/i3dnow/	
Vlipsy		https://www.crunchbase.com/organization/vlipsy	Chris Nickless				
			Matthew Tew			https://www.linkedin.com/in/matttew	
Novo		https://www.crunchbase.com/organization/novo	Michael Rangel	https://banknovo.com/			
						https://www.linkedin.com/in/michael-rangel/	
							https://twitter.com/MichaelVRangel
			Tyler McIntyre	https://banknovo.com/			
						https://www.linkedin.com/in/tylermcintyre/	
							https://twitter.com/tmcpro
7 Chord		https://www.crunchbase.com/organization/7-chord	Kristina Fan			https://www.linkedin.com/in/kristinafan/	
Sigma Ratings		https://www.crunchbase.com/organization/sigma-ratings	Gabrielle Haddad			https://www.linkedin.com/in/gabriellehaddad/	
			"Stuart Jones, Jr."			https://www.linkedin.com/in/stuartjonesjr/	
bild		https://www.crunchbase.com/organization/bild	Marco Affonseca			https://www.linkedin.com/in/marcoaffonseca/	
			Santiago Ibanez			https://www.linkedin.com/in/santiagoibanezl/	
Qanta.ai		https://www.crunchbase.com/organization/qanta-ai	Ivgeny Kopilevich			https://www.linkedin.com/in/ivgeny-kopilevich/	
			John Siracusa	http://qanta.ai/			
						https://www.linkedin.com/in/siracusa/	
							https://twitter.com/johnsiracusa
			Nir Solomon			https://www.linkedin.com/in/nir-solomon/	
			Yevgeny Khazan			https://www.linkedin.com/in/yevgeny-khazan/	
Pathspark		https://www.crunchbase.com/organization/pathspark	Anastasia Alt	http://www.anastasiaalt.com/			
						https://www.linkedin.com/in/anastasiaalt/	
							https://twitter.com/anastasiavalt
RealBlocks		https://www.crunchbase.com/organization/realblocks	Perrin Quarshie			https://www.linkedin.com/in/perrinq/	
One Model		https://www.crunchbase.com/organization/onemodel	Chris Butler			https://www.linkedin.com/pub/chris-butler/16/522/bb4	
			David Wilson			https://uk.linkedin.com/pub/david-wilson/14/69a/686	
			Matthew Wilton			https://au.linkedin.com/in/mrwilton	
CardioCube		https://www.crunchbase.com/organization/cardio-cube-ltd	"Oskar Kiwic, MD"	http://www.oskarkiwic.com/			
					https://web.facebook.com/oskarkiwic		
						https://www.linkedin.com/in/oskarkiwic	
							https://twitter.com/oskarkiwic
			Przemysław Magaczewski			https://www.linkedin.com/in/przemyslawmagaczewski-40274734/	
			Tom Jadczyk			https://www.linkedin.com/in/tomasz-jadczyk/	
Ephemeral Tattoos		https://www.crunchbase.com/organization/ephemeral-solutions	Brennal Pierre			https://www.linkedin.com/in/brennalpierre/	
			Joshua Sakhai			https://www.linkedin.com/in/joshuasakhai/	
			Vandan Shah			https://www.linkedin.com/in/vandan-shah-phd-77846522/	
Slingshot Aerospace		https://www.crunchbase.com/organization/slingshot-aerospace	David Godwin	http://www.slingshotaerospace.com/			
						http://www.linkedin.com/in/dgodwin4	
			Melanie Stricklan			http://linkedin.com/in/mstricklan	
			Thomas Ashman			https://www.linkedin.com/in/ashman/	
PopCom		https://www.crunchbase.com/organization/solutions-vending-international-inc	Dawn Dickson			https://www.linkedin.com/in/dawndickson	
							https://twitter.com/TheDawnDickson
Alpin		https://www.crunchbase.com/organization/alpin	Benjamin Soulier			http://www.linkedin.com/in/bsoulier	
							http://twitter.com/bsoulier
			Julien Denaes			http://www.linkedin.com/in/juliendenaes	
							https://twitter.com/juliendenaes
			Mark Evans			http://www.linkedin.com/in/markevans567	
							https://twitter.com/markevans_true
"Pundit, Inc."		https://www.crunchbase.com/organization/grafiti-app	Billy Shaw Susanto			https://www.linkedin.com/in/billyshawsusanto	
			Chris Aston	http://chris-aston.com/			
						https://www.linkedin.com/in/chris-aston/	
							https://twitter.com/christ0pherus
			Jason Ji				
			Juan Carlos Hernandez			https://www.linkedin.com/in/jucadez	
Rootine		https://www.crunchbase.com/organization/rootine	Bianca Gfrei				
			Daniel Wallerstorfer				
			Rachel Soper Sanders			https://www.linkedin.com/in/rachel-soper-sanders	
omniX labs		https://www.crunchbase.com/organization/omnix-labs	Anoop Kanthan			https://www.linkedin.com/in/akanthan	
			Muthla Al-Sayer			https://www.linkedin.com/in/muthla-al-sayer/	
Blind Tiger Communications		https://www.crunchbase.com/organization/blind-tiger-communications	Chuck Bokath			https://www.linkedin.com/in/chuckbokath/	
Keybot		https://www.crunchbase.com/organization/key-please	Adam Lorentzen				
			Daniel Dawson				
			Divyesh Panchal				
14bis Supply Tracking		https://www.crunchbase.com/organization/safeflights-inc	Alexis Dames	http://alexisdames.com/			
						https://www.linkedin.com/in/alexisdames/	
			Dharmesh Patel			https://www.linkedin.com/in/dharmesh-patel-3091b911/	
			Eleanor Mitch	https://14bis.aero/			
						https://www.linkedin.com/in/eleanormitch/	
							https://twitter.com/12Coquis
Notch Technologies		https://www.crunchbase.com/organization/notch-technologies	Shahriar Khushrushahi			https://www.linkedin.com/in/skhushrushahi/	
Aspinity		https://www.crunchbase.com/organization/aspinity	Brandon Rumberg			https://www.linkedin.com/in/brandon-rumberg-61092935/	
			David Graham			https://www.linkedin.com/in/david-graham-24148939/	
			Tom Doyle			https://www.linkedin.com/in/tom-d-ab621110/	
			Vinod Kulathumani			https://www.linkedin.com/in/vinodkulathumani/	
Pioneer Square Labs		https://www.crunchbase.com/organization/pioneer-square-labs	Ben Gilbert		https://www.facebook.com/gilbertbj		
						http://www.linkedin.com/in/benjamingilbert	
							http://twitter.com/gilbert
			Geoff Entress	https://www.crunchbase.com/search/organizations/field/people/num_exits/geoff-entress			
			Greg Gottesman				
			Mike Galgon	https://www.crunchbase.com/search/organizations/field/people/num_exits/mike-galgon			
Educative		https://www.crunchbase.com/organization/educative	Fahim ul Haq			https://www.linkedin.com/in/fahimulhaq/	
							https://twitter.com/fahimulhaq
			Naeem ul Haq			https://www.linkedin.com/in/naeemulhaq/	
							https://twitter.com/_Naeemulhaq
Flugauto		https://www.crunchbase.com/organization/flugauto	Alexander Xydas			https://www.linkedin.com/in/alexanderxydas	
			Frank Noppel			https://www.linkedin.com/in/franknoppel	
ILIVEvr		https://www.crunchbase.com/organization/ilivevr					
Novele		https://www.crunchbase.com/organization/novele	AJ Glassberg	http://www.ajglassberg.com/			
						http://www.linkedin.com/pub/alexander-glassberg-%22aj%22/2b/b79/7ba	
							http://twitter.com/AJGlassberg
			Lorenzo Zemella		http://www.facebook.com/lzemella		
						http://www.linkedin.com/pub/lorenzo-zemella/53/b7b/966	
Sophia		https://www.crunchbase.com/organization/sophia-335f	Bowen Lu			https://www.linkedin.com/in/bowenlu/	
			Chetan Jhaveri				
			Eva Breitenbach			https://www.linkedin.com/in/evabreitenbach/	
Fincura		https://www.crunchbase.com/organization/fincura	Cody Putre			https://www.linkedin.com/in/codyputre/	
							https://twitter.com/CodyPutre
			Max Blumenthal			https://www.linkedin.com/in/max-blumenthal-fincura/	
							https://twitter.com/blumenthal_max
Kyso		https://www.crunchbase.com/organization/kyso	Eoin Murray			https://www.linkedin.com/in/eoinm/	
